Power_W,Pressure_mTorr,Pressure_Pa,nAr,nArm,nArr,nArp,ne,Tg,Te_model
765.656565656566,1,0.133322,3.08115786760727e+19,1.25969397513433e+17,7.96849652721178e+16,4.74166906524294e+15,1.06979326563677e+18,321.724393891054,4.35881328954951
779.79797979798,1,0.133322,3.07935922897332e+19,1.25983759341269e+17,7.97297483987301e+16,4.82121804896486e+15,1.08802557925911e+18,322.094632657571,4.35748952262616
793.939393939394,1,0.133322,3.07756814978137e+19,1.25990953245816e+17,7.9768772491265e+16,4.9002485056914e+15,1.10621031888579e+18,322.464225316309,4.35622708012932
808.080808080808,1,0.133322,3.07578447785559e+19,1.25991360777951e+17,7.9802336982015e+16,4.97876504344465e+15,1.12434803737763e+18,322.833183770088,4.355023163072
822.222222222222,1,0.133322,3.07400806776228e+19,1.25985340025472e+17,7.98307228719087e+16,5.05677228595967e+15,1.14243927433269e+18,323.20151952349,4.3538751389075
836.363636363636,1,0.133322,3.07223878037796e+19,1.2597322735156e+17,7.98541941034226e+16,5.13427486458495e+15,1.16048455649181e+18,323.56924370214,4.3527805293001
850.50505050505,1,0.133322,3.07047648249245e+19,1.2595533898142e+17,7.98729988128427e+16,5.21127741113501e+15,1.17848439813463e+18,323.936367070788,4.3517369989618
864.646464646465,1,0.133322,3.06872104644303e+19,1.25931972452336e+17,7.98873704740733e+16,5.28778455158698e+15,1.19643930146546e+18,324.302900050272,4.35074234544829
878.787878787879,1,0.133322,3.06697234977747e+19,1.2590340794069e+17,7.98975289448091e+16,5.36380090052755e+15,1.2143497569886e+18,324.668852733457,4.34979448981875
892.929292929293,1,0.133322,3.06523027494261e+19,1.25869909477946e+17,7.99036814246557e+16,5.43933105626599e+15,1.2322162438729e+18,325.034234900221,4.34889146807545
907.070707070707,1,0.133322,3.06349470899688e+19,1.2583172606631e+17,7.99060233337397e+16,5.51437959654071e+15,1.2500392303054e+18,325.399056031556,4.34803142330772
921.212121212121,1,0.133322,3.06176554334375e+19,1.25789092703566e+17,7.9904739119392e+16,5.58895107475312e+15,1.26781917383395e+18,325.763325322851,4.34721259847376
935.353535353535,1,0.133322,3.06004267348496e+19,1.25742231325624e+17,7.99000029976943e+16,5.66305001667228e+15,1.28555652169894e+18,326.127051696407,4.34643332976023
949.49494949495,1,0.133322,3.05832599879158e+19,1.25691351674375e+17,7.98919796359406e+16,5.7366809175589e+15,1.30325171115424e+18,326.490243813255,4.34569204046637
963.636363636364,1,0.133322,3.05661542229112e+19,1.25636652097663e+17,7.98808247814322e+16,5.80984823966324e+15,1.32090516977736e+18,326.852910084296,4.34498723536484
977.777777777778,1,0.133322,3.05491085046978e+19,1.255783202875e+17,7.98666858414722e+16,5.88255641005729e+15,1.33851731576926e+18,327.215058680845,4.34431749549629
991.919191919192,1,0.133322,3.05321219308818e+19,1.25516533961997e+17,7.98497024189146e+16,5.95480981876484e+15,1.35608855824381e+18,327.576697544586,4.34368147335918
1006.06060606061,1,0.133322,3.05151936300972e+19,1.25451461495964e+17,7.98300068071962e+16,6.0266128171582e+15,1.37361929750728e+18,327.937834397,4.3430778884602
1020.20202020202,1,0.133322,3.04983227604022e+19,1.25383262504617e+17,7.98077244483755e+16,6.09796971659235e+15,1.39110992532805e+18,328.298476748285,4.34250552319411
1034.34343434343,1,0.133322,3.04815085077866e+19,1.25312088384424e+17,7.9782974357373e+16,6.1688847872529e+15,1.40856082519696e+18,328.658631905819,4.34196321902449
1048.48484848485,1,0.133322,3.04647500847694e+19,1.25238082814684e+17,7.97558695152701e+16,6.23936225719269e+15,1.42597237257832e+18,329.01830698217,4.3414498729407
1062.62626262626,1,0.133322,3.0448046729093e+19,1.25161382223157e+17,7.97265172342825e+16,6.3094063115396e+15,1.44334493515214e+18,329.377508902709,4.34096443416712
1076.76767676768,1,0.133322,3.04313977024957e+19,1.2508211621868e+17,7.96950194967443e+16,6.37902109185531e+15,1.46067887304776e+18,329.736244412829,4.34050590110461
1090.90909090909,1,0.133322,3.04148022895626e+19,1.25000407993479e+17,7.96614732702425e+16,6.44821069563002e+15,1.47797453906907e+18,330.094520084805,4.34007331848482
1105.05050505051,1,0.133322,3.03982597966492e+19,1.24916374697629e+17,7.96259708008344e+16,6.51697917589881e+15,1.49523227891186e+18,330.452342324319,4.33966577472038
1119.19191919192,1,0.133322,3.0381769550866e+19,1.24830127787854e+17,7.95885998860956e+16,6.58533054096511e+15,1.51245243137326e+18,330.80971737666,4.33928239943544
1133.33333333333,1,0.133322,3.03653308991281e+19,1.24741773352722e+17,7.95494441296082e+16,6.65326875422173e+15,1.52963532855388e+18,331.166651332629,4.33892236116221
1147.47474747475,1,0.133322,3.03489432072599e+19,1.24651412416051e+17,7.95085831783341e+16,6.7207977340574e+15,1.54678129605267e+18,331.523150134159,4.33858486519074
1161.61616161616,1,0.133322,3.03326058591519e+19,1.24559141220225e+17,7.94660929442014e+16,6.78792135384017e+15,1.56389065315489e+18,331.879219579672,4.33826915155996
1175.75757575758,1,0.133322,3.03163182559654e+19,1.24465051490925e+17,7.94220458111132e+16,6.85464344196879e+15,1.58096371301344e+18,332.234865329183,4.33797449317963
1189.89898989899,1,0.133322,3.03000798153847e+19,1.24369230684714e+17,7.93765108284843e+16,6.92096778198504e+15,1.59800078282372e+18,332.590092909171,4.33770019407274
1204.0404040404,1,0.133322,3.02838899709098e+19,1.24271762220717e+17,7.93295538923136e+16,6.98689811273964e+15,1.61500216399246e+18,332.944907717226,4.33744558773004
